period,biz_line_id,revenue,direct_cost,allocated_expense,operating_profit,operating_margin,profit_contribution_rate
2025-01,ASSET_MGMT,32183747.32,9333286.72,8856967.26,13993493.34,0.4348,0.0399
2025-01,BROKERAGE,265191600.06,60994067.98,75605447.7,128592084.39,0.4849,0.3667
2025-01,HQ,54750000.0,35587500.0,41347200.0,-22184700.0,-0.4052,-0.0633
2025-01,IB,29094620.4,11055955.76,7424947.11,10613717.52,0.3648,0.0303
2025-01,MARGIN,142171763.94,25590917.53,30595363.62,85985482.82,0.6048,0.2452
2025-01,PROPRIETARY,158933844.31,12714707.54,21487855.74,124731281.01,0.7848,0.3557
2025-01,WEALTH,44626313.21,18743051.56,16933984.86,8949276.8,0.2005,0.0255
2025-02,ASSET_MGMT,29097634.55,8438314.01,8007669.02,12651651.51,0.4348,0.0399
2025-02,BROKERAGE,239762268.53,55145321.81,68355610.25,116261336.52,0.4849,0.3667
2025-02,HQ,49500000.0,32175000.0,37382400.0,-20057400.0,-0.4052,-0.0633
2025-02,IB,26304725.29,9995795.61,6712965.89,9595963.8,0.3648,0.0303
2025-02,MARGIN,128538855.07,23136993.91,27661561.61,77740299.55,0.6048,0.2452
2025-02,PROPRIETARY,143693612.67,11495489.0,19427376.42,112770747.22,0.7848,0.3557
2025-02,WEALTH,40347077.7,16945772.65,15310178.09,8091126.98,0.2005,0.0255
2025-03,ASSET_MGMT,35710733.33,10356112.67,9827593.81,15527026.85,0.4348,0.0399
2025-03,BROKERAGE,294253693.12,67678349.42,83890976.23,142684367.59,0.4849,0.3667
2025-03,HQ,60750000.0,39487500.0,45878400.0,-24615900.0,-0.4052,-0.0633
2025-03,IB,32283071.97,12267567.34,8238639.96,11776864.65,0.3648,0.0303
2025-03,MARGIN,157752231.22,28395401.62,33948280.16,95408549.46,0.6048,0.2452
2025-03,PROPRIETARY,176351251.91,14108100.15,23842689.26,138400462.49,0.7848,0.3557
2025-03,WEALTH,49516868.09,20797084.6,18789764.01,9930019.47,0.2005,0.0255
2025-04,ASSET_MGMT,34828986.82,10100406.18,9584937.18,15143643.46,0.4348,0.0399
2025-04,BROKERAGE,286988169.88,66007279.08,81819594.09,139161296.72,0.4849,0.3667
2025-04,HQ,59250000.0,38512500.0,44745600.0,-24008100.0,-0.4052,-0.0633
2025-04,IB,31485959.08,11964664.45,8035216.76,11486077.86,0.3648,0.0303
2025-04,MARGIN,153857114.4,27694280.6,33110051.03,93052782.79,0.6048,0.2452
2025-04,PROPRIETARY,171996900.0,13759752.0,23253980.88,134983167.12,0.7848,0.3557
2025-04,WEALTH,48294229.37,20283576.33,18325819.23,9684833.8,0.2005,0.0255
2025-05,ASSET_MGMT,37033353.09,10739672.4,10191578.77,16102101.92,0.4348,0.0399
2025-05,BROKERAGE,305151978.09,70184954.98,86998049.31,147968973.8,0.4849,0.3667
2025-05,HQ,63000000.0,40950000.0,47577600.0,-25527600.0,-0.4052,-0.0633
2025-05,IB,33478741.28,12721921.69,8543774.78,12213044.84,0.3648,0.0303
2025-05,MARGIN,163594906.46,29447083.16,35205623.86,98942199.42,0.6048,0.2452
2025-05,PROPRIETARY,182882779.76,14630622.38,24725751.84,143526405.55,0.7848,0.3557
2025-05,WEALTH,51350826.17,21567346.99,19485681.21,10297797.96,0.2005,0.0255
2025-06,ASSET_MGMT,36151606.58,10483965.91,9948922.14,15718718.54,0.4348,0.0399
2025-06,BROKERAGE,297886454.87,68513884.6,84926667.3,144445902.95,0.4849,0.3667
2025-06,HQ,61500000.0,39975000.0,46444800.0,-24919800.0,-0.4052,-0.0633
2025-06,IB,32681628.4,12419018.79,8340351.56,11922258.05,0.3648,0.0303
2025-06,MARGIN,159699789.62,28745962.13,34367394.72,96586432.77,0.6048,0.2452
2025-06,PROPRIETARY,178528427.86,14282274.23,24137043.44,140109110.18,0.7848,0.3557
2025-06,WEALTH,50128187.43,21053838.73,19021736.43,10052612.29,0.2005,0.0255
2025-07,ASSET_MGMT,33947240.33,9844699.69,9342280.53,14760260.1,0.4348,0.0406
2025-07,BROKERAGE,267560792.46,61538982.2,76280898.4,129740911.79,0.4849,0.3564
2025-07,HQ,57750000.0,37537500.0,43612800.0,-23400300.0,-0.4052,-0.0643
2025-07,IB,30688846.18,11661761.54,7831793.54,11195291.08,0.3648,0.0308
2025-07,MARGIN,149961997.59,26993159.56,32271821.88,90697016.14,0.6048,0.2492
2025-07,PROPRIETARY,167642548.11,13411403.85,22665272.5,131565871.75,0.7848,0.3614
2025-07,WEALTH,47071590.66,19770068.08,17861874.44,9439648.14,0.2005,0.0259
2025-08,ASSET_MGMT,34828986.82,10100406.18,9584937.18,15143643.46,0.4348,0.0406
2025-08,BROKERAGE,274510423.37,63137397.41,78262220.42,133110805.64,0.4849,0.3564
2025-08,HQ,59250000.0,38512500.0,44745600.0,-24008100.0,-0.4052,-0.0643
2025-08,IB,31485959.08,11964664.45,8035216.76,11486077.86,0.3648,0.0308
2025-08,MARGIN,153857114.4,27694280.6,33110051.03,93052782.79,0.6048,0.2492
2025-08,PROPRIETARY,171996900.0,13759752.0,23253980.88,134983167.12,0.7848,0.3614
2025-08,WEALTH,48294229.37,20283576.33,18325819.23,9684833.8,0.2005,0.0259
2025-09,ASSET_MGMT,39678592.59,11506791.85,10919548.68,17252252.07,0.4348,0.0406
2025-09,BROKERAGE,312733393.75,71928680.55,89159491.7,151645221.59,0.4849,0.3564
2025-09,HQ,67500000.0,43875000.0,50976000.0,-27351000.0,-0.4052,-0.0643
2025-09,IB,35870079.96,13630630.38,9154044.4,13085405.18,0.3648,0.0308
2025-09,MARGIN,175280256.91,31550446.24,37720311.29,106009499.38,0.6048,0.2492
2025-09,PROPRIETARY,195945835.45,15675666.84,26491876.95,153778291.67,0.7848,0.3614
2025-09,WEALTH,55018742.34,23107871.78,20877515.58,11033354.96,0.2005,0.0259
2025-10,ASSET_MGMT,38796846.09,11251085.37,10676892.05,16868868.68,0.4348,0.0406
2025-10,BROKERAGE,305783762.76,70330265.43,87178169.55,148275327.7,0.4849,0.3564
2025-10,HQ,66000000.0,42900000.0,49843200.0,-26743200.0,-0.4052,-0.0643
2025-10,IB,35072967.07,13327727.47,8950621.2,12794618.38,0.3648,0.0308
2025-10,MARGIN,171385140.09,30849325.22,36882082.15,103653732.73,0.6048,0.2492
2025-10,PROPRIETARY,191591483.54,15327318.68,25903168.58,150360996.31,0.7848,0.3614
2025-10,WEALTH,53796103.6,22594363.52,20413570.78,10788169.3,0.2005,0.0259
2025-11,ASSET_MGMT,42764705.33,12401764.54,11768846.91,18594093.9,0.4348,0.0406
2025-11,BROKERAGE,337057102.13,77523133.49,96094118.72,163439849.85,0.4849,0.3564
2025-11,HQ,72750000.0,47287500.0,54940800.0,-29478300.0,-0.4052,-0.0643
2025-11,IB,38659975.06,14690790.53,9866025.65,14103158.88,0.3648,0.0308
2025-11,MARGIN,188913165.78,34004369.84,40654113.28,114254682.68,0.6048,0.2492
2025-11,PROPRIETARY,211186067.09,16894885.38,28552356.28,165738825.44,0.7848,0.3614
2025-11,WEALTH,59297977.83,24905150.68,22501322.35,11891504.78,0.2005,0.0259
2025-12,ASSET_MGMT,45850818.09,13296737.24,12618145.13,19935935.73,0.4348,0.0406
2025-12,BROKERAGE,361380810.58,83117586.41,103028745.84,175234478.24,0.4849,0.3564
2025-12,HQ,78000000.0,50700000.0,58905600.0,-31605600.0,-0.4052,-0.0643
2025-12,IB,41449870.16,15750950.67,10578006.87,15120912.64,0.3648,0.0308
2025-12,MARGIN,202546074.65,36458293.45,43587915.27,122499865.95,0.6048,0.2492
2025-12,PROPRIETARY,226426298.74,18114103.89,30612835.59,177699359.27,0.7848,0.3614
2025-12,WEALTH,63577213.35,26702429.62,24125129.12,12749654.62,0.2005,0.0259
