period,branch_id,salary_expense,rent_expense,marketing_expense,it_allocated_expense,market_data_allocated_expense,hq_allocated_expense,total_expense
2025-01,B001,13206195.66,3851807.07,7703614.14,6600098.34,4752070.8,15048224.2,51162010.21
2025-01,B002,16568264.28,5798892.5,6627305.71,23851965.63,11925982.81,30477511.64,95249922.58
2025-01,B003,11289277.54,3292705.95,3763092.51,5609520.04,4038854.43,12789705.68,40783156.14
2025-01,B004,8684059.64,2026280.58,2894686.55,4315015.41,3106811.1,9838235.13,30865088.42
2025-01,B005,7923717.4,1848867.39,4622168.48,3960059.0,2851242.48,9028934.52,30234989.27
2025-01,B006,6947247.72,1621024.47,2315749.24,3771829.2,2715717.02,8599770.58,25971338.22
2025-01,B007,9552465.61,2228908.64,3184155.2,4746516.95,3417492.2,10822058.65,33951597.25
2025-01,B008,6078841.75,1418396.41,2026280.58,3020510.79,2174767.77,6886764.59,21605561.88
2025-01,B009,4342029.82,1013140.29,1447343.27,2357393.25,1697323.14,5374856.62,16232086.4
2025-02,B001,11939848.13,3482455.71,6964911.41,5967212.19,4296392.78,13605243.8,46256064.02
2025-02,B002,14979526.61,5242834.31,5991810.64,21564790.84,10782395.42,27555010.52,86116368.36
2025-02,B003,10206744.08,2976967.02,3402248.03,5071620.85,3651567.01,11563295.54,36872442.52
2025-02,B004,7851341.6,1831979.71,2617113.87,3901246.81,2808897.7,8894842.73,27905422.41
2025-02,B005,7163908.88,1671578.74,4178946.85,3580327.32,2577835.67,8163146.28,27335743.74
2025-02,B006,6281073.28,1465583.76,2093691.09,3410146.95,2455305.8,7775135.04,23480935.92
2025-02,B007,8636475.75,2015177.68,2878825.25,4291371.49,3089787.47,9784326.99,30695964.63
2025-02,B008,5495939.12,1282385.79,1831979.71,2730872.77,1966228.39,6226389.9,19533795.68
2025-02,B009,3925670.8,915989.85,1308556.93,2131341.84,1534566.13,4859459.4,14675584.95
2025-03,B001,14653449.98,4273922.91,8547845.82,7323396.78,5272845.68,16697344.66,56768805.85
2025-03,B002,18383964.48,6434387.57,7353585.79,26465879.68,13232939.84,33817512.92,105688270.27
2025-03,B003,12526458.64,3653550.44,4175486.21,6224261.95,4481468.61,14191317.25,45252543.1
2025-03,B004,9635737.41,2248338.73,3211912.47,4787893.81,3447283.54,10916397.88,34247563.84
2025-03,B005,8792069.99,2051483.0,5128707.49,4394038.07,3163707.41,10018406.81,33548412.77
2025-03,B006,7708589.93,1798670.98,2569529.98,4185180.35,3013329.85,9542211.19,28817512.28
2025-03,B007,10599311.16,2473172.6,3533103.72,5266683.19,3792011.9,12008037.67,37672320.24
2025-03,B008,6745016.19,1573837.11,2248338.73,3351525.67,2413098.48,7641478.52,23973294.69
2025-03,B009,4817868.71,1124169.37,1605956.24,2615737.71,1883331.15,5963881.99,18010945.17
2025-04,B001,14291636.4,4168393.95,8336787.9,7142572.17,5142651.97,16285064.56,55367106.95
2025-04,B002,17930039.43,6275513.8,7172015.77,25812401.17,12906200.58,32982512.6,103078683.35
2025-04,B003,12217163.36,3563339.31,4072387.79,6070576.48,4370815.06,13840914.36,44135196.37
2025-04,B004,9397817.97,2192824.19,3132605.99,4669674.21,3362165.43,10646857.2,33401944.99
2025-04,B005,8574981.84,2000829.1,5002072.74,4285543.3,3085591.18,9771038.74,32720056.9
2025-04,B006,7518254.38,1754259.35,2506084.79,4081842.56,2938926.65,9306601.04,28105968.78
2025-04,B007,10337599.77,2412106.61,3445866.59,5136641.63,3698381.98,11711542.92,36742139.5
2025-04,B008,6578472.58,1534976.94,2192824.19,3268771.95,2353515.8,7452800.04,23381361.5
2025-04,B009,4698908.99,1096412.1,1566303.0,2551151.6,1836829.15,5816625.65,17566230.48
2025-05,B001,15196170.35,4432216.35,8864432.71,7594633.7,5468136.27,17315764.84,58871354.22
2025-05,B002,19064852.05,6672698.22,7625940.82,27446097.43,13723048.72,35070013.39,109602650.63
2025-05,B003,12990401.55,3788867.12,4330133.85,6454790.18,4647448.93,14716921.6,46928563.23
2025-05,B004,9992616.58,2331610.53,3330872.19,4965223.21,3574960.71,11320708.92,35515992.16
2025-05,B005,9117702.21,2127463.85,5318659.62,4556780.22,3280881.76,10389458.91,34790946.58
2025-05,B006,7994093.26,1865288.43,2664697.75,4340187.03,3124934.66,9895626.42,29884827.55
2025-05,B007,10991878.23,2564771.59,3663959.41,5461745.53,3932456.78,12452779.81,39067591.36
2025-05,B008,6994831.6,1632127.37,2331610.53,3475656.25,2502472.5,7924496.24,24861194.5
2025-05,B009,4996308.29,1165805.27,1665436.1,2712616.89,1953084.16,6184766.51,18678017.21
