period,branch_id,revenue,direct_cost,allocated_expense,operating_profit,operating_margin,profit_rank
2025-01,B001,110051630.54,26488948.7,26400393.34,57162288.48,0.5194,2
2025-01,B002,165682642.83,39833382.59,66255460.08,59593800.14,0.3597,1
2025-01,B003,94077312.81,22410766.75,22438080.14,49228465.94,0.5233,3
2025-01,B004,72367163.7,17239051.34,17260061.64,37868050.71,0.5233,5
2025-01,B005,66030978.32,15893369.23,15840236.0,34297373.08,0.5194,6
2025-01,B006,57893730.96,13791241.08,15087316.8,29015173.08,0.5012,7
2025-01,B007,79603880.05,18962956.48,18986067.8,41654855.8,0.5233,4
2025-01,B008,50657014.59,12067335.94,12082043.14,26507635.5,0.5233,8
2025-01,B009,36183581.86,8619525.69,9429573.01,18134483.18,0.5012,9
2025-02,B001,99498734.44,23948912.52,23868848.77,51680973.16,0.5194,2
2025-02,B002,149795266.11,36013743.15,59902196.79,53879326.17,0.3597,1
2025-02,B003,85056200.63,20261789.11,20286483.4,44507928.11,0.5233,3
2025-02,B004,65427846.65,15585991.62,15604987.24,34236867.77,0.5233,5
2025-02,B005,59699240.68,14369347.52,14321309.27,31008583.88,0.5194,6
2025-02,B006,52342277.3,12468793.3,13640587.79,26232896.21,0.5012,7
2025-02,B007,71970631.29,17144590.79,17165485.95,37660554.56,0.5233,4
2025-02,B008,45799492.64,10910194.13,10923491.06,23965807.45,0.5233,8
2025-02,B009,32713923.31,7792995.82,8525367.37,16395560.13,0.5012,9
2025-03,B001,122112083.19,29391847.19,29293587.13,63426648.86,0.5194,2
2025-03,B002,183839644.77,44198684.8,73516332.44,66124627.56,0.3597,1
2025-03,B003,104387155.31,24866741.19,24897047.81,54623366.32,0.5233,3
2025-03,B004,80297811.78,19128262.45,19151575.23,42017974.1,0.5233,5
2025-03,B005,73267249.92,17635108.31,17576152.29,38055989.31,0.5194,6
2025-03,B006,64238249.43,15302609.95,16740721.39,32194918.07,0.5012,7
2025-03,B007,88327592.97,21041088.7,21066732.76,46219771.5,0.5233,4
2025-03,B008,56208468.25,13389783.71,13406102.66,29412581.86,0.5233,8
2025-03,B009,40148905.9,9564131.23,10462950.86,20121823.8,0.5012,9
2025-04,B001,119096970.02,28666122.58,28570288.7,61860558.76,0.5194,2
2025-04,B002,179300394.28,43107359.24,71701114.35,64491920.7,0.3597,1
2025-04,B003,101809694.7,24252747.58,24282305.9,53274641.22,0.5233,3
2025-04,B004,78315149.76,18655959.67,18678696.84,40980493.24,0.5233,5
2025-04,B005,71458182.02,17199673.54,17142173.22,37116335.26,0.5194,6
2025-04,B006,62652119.82,14924767.74,16327370.25,31399981.83,0.5012,7
