period,branch_id,customer_segment,product_type,trade_volume,avg_commission_rate,commission_income,active_customers,new_customers,churn_customers
2025-01,B001,RETAIL,STOCK,71718193705.65,0.00036288,24785807.75,832,76,98
2025-01,B001,HNW,ETF,28918626494.21,0.00032832,9994277.32,726,24,11
2025-01,B001,INSTITUTION,STOCK,15037685776.99,0.00026957,5197024.21,486,12,8
2025-01,B002,RETAIL,STOCK,142864983680.21,0.00028665,39002140.55,2298,117,38
2025-01,B002,HNW,ETF,57606848258.15,0.00025935,15726669.57,680,18,8
2025-01,B002,INSTITUTION,STOCK,29955561094.24,0.00021294,8177868.18,213,28,22
2025-01,B003,RETAIL,STOCK,65427124082.34,0.00034474,21481033.38,735,101,22
2025-01,B003,HNW,ETF,26381904871.91,0.0003119,8661707.01,899,20,7
2025-01,B003,INSTITUTION,STOCK,13718590533.39,0.00025609,4504087.64,349,8,13
2025-01,B004,RETAIL,STOCK,47812129137.1,0.00036288,16523871.83,717,158,27
2025-01,B004,HNW,ETF,19279084329.47,0.00032832,6662851.54,736,14,13
2025-01,B004,INSTITUTION,STOCK,10025123851.33,0.00026957,3464682.8,481,21,17
2025-01,B005,RETAIL,STOCK,43030916223.39,0.00036288,14871484.65,1483,120,12
2025-01,B005,HNW,ETF,17351175896.53,0.00032832,5996566.39,838,53,9
2025-01,B005,INSTITUTION,STOCK,9022611466.19,0.00026957,3118214.52,443,7,5
2025-01,B006,RETAIL,STOCK,38249703309.68,0.00036288,13219097.46,1367,46,106
2025-01,B006,HNW,ETF,15423267463.58,0.00032832,5330281.24,720,49,32
2025-01,B006,INSTITUTION,STOCK,8020099081.06,0.00026957,2771746.24,519,4,16
2025-01,B007,RETAIL,STOCK,52593342050.81,0.00036288,18176259.01,1214,76,76
2025-01,B007,HNW,ETF,21206992762.42,0.00032832,7329136.7,229,8,38
2025-01,B007,INSTITUTION,STOCK,11027636236.46,0.00026957,3811151.08,241,6,20
2025-01,B008,RETAIL,STOCK,33468490395.97,0.00036288,11566710.28,2382,79,48
2025-01,B008,HNW,ETF,13495359030.63,0.00032832,4663996.08,864,58,11
2025-01,B008,INSTITUTION,STOCK,7017586695.93,0.00026957,2425277.96,584,15,9
2025-01,B009,RETAIL,STOCK,23906064568.55,0.00036288,8261935.92,2665,127,93
2025-01,B009,HNW,ETF,9639542164.74,0.00032832,3331425.77,551,56,16
2025-01,B009,INSTITUTION,STOCK,5012561925.66,0.00026957,1732341.4,236,33,7
2025-02,B001,RETAIL,STOCK,64841106637.98,0.00036288,22409086.45,2158,104,27
2025-02,B001,HNW,ETF,26145607515.31,0.00032832,9035921.96,936,17,11
