period,biz_line_id,branch_id,product_type,customer_segment,actual_revenue,actual_direct_cost,actual_allocated_expense,actual_profit,actual_trade_volume,actual_commission_rate
2025-01,BROKERAGE,B001,STOCK,RETAIL,12984565.09,2986449.97,3116295.62,6881819.5,34788036612.3,0.00037325
2025-01,BROKERAGE,B001,FUND,RETAIL,3805820.8,875338.78,913396.99,2017085.03,11329437210.9,0.00033592
2025-01,BROKERAGE,B001,BOND,RETAIL,1790974.5,411924.13,429833.88,949216.48,6664374829.94,0.00026874
2025-01,BROKERAGE,B001,ETF,RETAIL,3805820.8,875338.78,913396.99,2017085.03,12434748158.31,0.00030606
2025-01,BROKERAGE,B001,STOCK,HNW,5796680.84,1333236.59,1391203.4,3072240.85,17843407836.85,0.00032486
2025-01,BROKERAGE,B001,FUND,HNW,1699027.14,390776.24,407766.51,900484.39,5811071517.75,0.00029238
2025-01,BROKERAGE,B001,BOND,HNW,799542.19,183894.7,191890.12,423757.36,3418277363.38,0.0002339
2025-01,BROKERAGE,B001,ETF,HNW,1699027.14,390776.24,407766.51,900484.39,6378005324.36,0.00026639
2025-01,BROKERAGE,B001,STOCK,INSTITUTION,3876820.15,891668.63,930436.84,2054714.68,16101891231.98,0.00024077
2025-01,BROKERAGE,B001,FUND,INSTITUTION,1136309.35,261351.15,272714.24,602243.96,5243910937.62,0.00021669
2025-01,BROKERAGE,B001,BOND,INSTITUTION,534733.81,122988.78,128336.12,283408.92,3084653492.72,0.00017335
2025-01,BROKERAGE,B001,ETF,INSTITUTION,1136309.35,261351.15,272714.24,602243.96,5755512004.7,0.00019743
2025-01,BROKERAGE,B002,STOCK,RETAIL,20432089.11,4699380.5,8172835.64,7559872.97,69298904867.58,0.00029484
2025-01,BROKERAGE,B002,FUND,RETAIL,5988715.77,1377404.63,2395486.31,2215824.84,22568608864.92,0.00026536
2025-01,BROKERAGE,B002,BOND,RETAIL,2818219.19,648190.41,1127287.68,1042741.1,13275652273.48,0.00021228
2025-01,BROKERAGE,B002,ETF,RETAIL,5988715.77,1377404.63,2395486.31,2215824.84,24770424363.94,0.00024177
2025-01,BROKERAGE,B002,STOCK,HNW,9121468.35,2097937.72,3648587.34,3374943.29,35544651052.9,0.00025662
2025-01,BROKERAGE,B002,FUND,HNW,2673533.83,614912.78,1069413.53,989207.52,11575844212.63,0.00023096
2025-01,BROKERAGE,B002,BOND,HNW,1258133.57,289370.72,503253.43,465509.42,6809320125.08,0.00018477
2025-01,BROKERAGE,B002,ETF,HNW,2673533.83,614912.78,1069413.53,989207.52,12705194867.52,0.00021043
2025-01,BROKERAGE,B002,STOCK,INSTITUTION,6435626.94,1480194.2,2574250.78,2381181.97,32075493110.14,0.00020064
2025-01,BROKERAGE,B002,FUND,INSTITUTION,1886304.45,433850.02,754521.78,697932.65,10446041817.48,0.00018058
2025-01,BROKERAGE,B002,BOND,INSTITUTION,887672.68,204164.72,355069.07,328438.89,6144730480.87,0.00014446
2025-01,BROKERAGE,B002,ETF,INSTITUTION,1886304.45,433850.02,754521.78,697932.65,11465167848.45,0.00016452
2025-01,BROKERAGE,B003,STOCK,RETAIL,11253289.74,2588256.64,2700789.54,5964243.56,31736454453.32,0.00035459
2025-01,BROKERAGE,B003,FUND,RETAIL,3298378.03,758626.95,791610.73,1748140.36,10335626929.24,0.00031913
2025-01,BROKERAGE,B003,BOND,RETAIL,1552177.9,357000.92,372522.69,822654.28,6079780546.61,0.0002553
2025-01,BROKERAGE,B003,ETF,RETAIL,3298378.03,758626.95,791610.73,1748140.36,11343980776.0,0.00029076
2025-01,BROKERAGE,B003,STOCK,HNW,5023790.06,1155471.71,1205709.62,2662608.73,16278196623.09,0.00030862
2025-01,BROKERAGE,B003,FUND,HNW,1472490.19,338672.74,353397.65,780419.8,5301328402.16,0.00027776
2025-01,BROKERAGE,B003,BOND,HNW,692936.56,159375.41,166304.77,367256.38,3118428471.86,0.00022221
2025-01,BROKERAGE,B003,ETF,HNW,1472490.19,338672.74,353397.65,780419.8,5818531173.1,0.00025307
2025-01,BROKERAGE,B003,STOCK,INSTITUTION,3359910.8,772779.48,806378.59,1780752.72,14689444632.68,0.00022873
2025-01,BROKERAGE,B003,FUND,INSTITUTION,984801.44,226504.33,236352.35,521944.76,4783918750.11,0.00020586
2025-01,BROKERAGE,B003,BOND,INSTITUTION,463435.97,106590.27,111224.63,245621.07,2814069853.0,0.00016469
2025-01,BROKERAGE,B003,ETF,INSTITUTION,984801.44,226504.33,236352.35,521944.76,5250642530.6,0.00018756
2025-01,BROKERAGE,B004,STOCK,RETAIL,8656376.73,1990966.65,2077530.41,4587879.66,23192024408.2,0.00037325
2025-01,BROKERAGE,B004,FUND,RETAIL,2537213.87,583559.19,608931.33,1344723.35,7552958140.6,0.00033592
2025-01,BROKERAGE,B004,BOND,RETAIL,1193983.0,274616.09,286555.92,632810.99,4442916553.29,0.00026874
2025-01,BROKERAGE,B004,ETF,RETAIL,2537213.87,583559.19,608931.33,1344723.35,8289832105.54,0.00030606
2025-01,BROKERAGE,B004,STOCK,HNW,3864453.9,888824.4,927468.93,2048160.56,11895605224.57,0.00032486
2025-01,BROKERAGE,B004,FUND,HNW,1132684.76,260517.5,271844.34,600322.92,3874047678.5,0.00029238
2025-01,BROKERAGE,B004,BOND,HNW,533028.12,122596.47,127926.75,282504.91,2278851575.59,0.0002339
2025-01,BROKERAGE,B004,ETF,HNW,1132684.76,260517.5,271844.34,600322.92,4252003549.57,0.00026639
2025-01,BROKERAGE,B004,STOCK,INSTITUTION,2584546.77,594445.76,620291.22,1369809.79,10734594154.65,0.00024077
2025-01,BROKERAGE,B004,FUND,INSTITUTION,757539.57,174234.1,181809.5,401495.97,3495940625.08,0.00021669
2025-01,BROKERAGE,B004,BOND,INSTITUTION,356489.21,81992.52,85557.41,188939.28,2056435661.81,0.00017335
2025-01,BROKERAGE,B004,ETF,INSTITUTION,757539.57,174234.1,181809.5,401495.97,3837008003.13,0.00019743
2025-01,BROKERAGE,B005,STOCK,RETAIL,7790739.05,1791869.98,1869777.37,4129091.7,20872821967.38,0.00037325
2025-01,BROKERAGE,B005,FUND,RETAIL,2283492.48,525203.27,548038.2,1210251.02,6797662326.54,0.00033592
2025-01,BROKERAGE,B005,BOND,RETAIL,1074584.7,247154.48,257900.33,569529.89,3998624897.97,0.00026874
2025-01,BROKERAGE,B005,ETF,RETAIL,2283492.48,525203.27,548038.2,1210251.02,7460848894.98,0.00030606
2025-01,BROKERAGE,B005,STOCK,HNW,3478008.51,799941.96,834722.04,1843344.51,10706044702.11,0.00032486
