period,biz_line_id,branch_id,product_type,customer_segment,budget_revenue,budget_direct_cost,budget_allocated_expense,budget_profit,budget_trade_volume,budget_commission_rate
2025-01,BROKERAGE,B001,STOCK,RETAIL,46187690.94,10623168.92,11085045.83,24479476.2,128299141500.49,0.00036
2025-01,BROKERAGE,B002,STOCK,RETAIL,79935497.12,18385164.34,19184519.31,42365813.47,266451657068.23,0.0003
2025-01,BROKERAGE,B003,STOCK,RETAIL,40029332.15,9206746.39,9607039.72,21215546.04,117044830842.56,0.000342
2025-01,BROKERAGE,B004,STOCK,RETAIL,30791793.96,7082112.61,7390030.55,16319650.8,85532761000.33,0.00036
2025-01,BROKERAGE,B005,STOCK,RETAIL,27712614.56,6373901.35,6651027.5,14687685.72,76979484900.3,0.00036
2025-01,BROKERAGE,B006,STOCK,RETAIL,24633435.17,5665690.09,5912024.44,13055720.64,68426208800.26,0.00036
2025-01,BROKERAGE,B007,STOCK,RETAIL,33870973.36,7790323.87,8129033.61,17951615.88,94086037100.36,0.00036
2025-01,BROKERAGE,B008,STOCK,RETAIL,21554255.77,4957478.83,5173021.39,11423755.56,59872932700.23,0.00036
2025-01,BROKERAGE,B009,STOCK,RETAIL,15395896.98,3541056.31,3695015.28,8159825.4,42766380500.16,0.00036
2025-01,IB,B001,IB_PROJECT,INSTITUTION,4495118.85,1708145.16,988926.15,1798047.54,0.0,0.0
2025-01,IB,B002,IB_PROJECT,INSTITUTION,6592840.98,2505279.57,1450425.02,2637136.39,0.0,0.0
2025-01,IB,B003,IB_PROJECT,INSTITUTION,3895769.67,1480392.48,857069.33,1558307.87,0.0,0.0
2025-01,IB,B004,IB_PROJECT,INSTITUTION,2996745.9,1138763.44,659284.1,1198698.36,0.0,0.0
2025-01,IB,B005,IB_PROJECT,INSTITUTION,2697071.31,1024887.1,593355.69,1078828.52,0.0,0.0
2025-01,IB,B006,IB_PROJECT,INSTITUTION,2397396.72,911010.75,527427.28,958958.69,0.0,0.0
2025-01,IB,B007,IB_PROJECT,INSTITUTION,3296420.49,1252639.79,725212.51,1318568.2,0.0,0.0
2025-01,IB,B008,IB_PROJECT,INSTITUTION,2097722.13,797134.41,461498.87,839088.85,0.0,0.0
2025-01,IB,B009,IB_PROJECT,INSTITUTION,1498372.95,569381.72,329642.05,599349.18,0.0,0.0
2025-01,ASSET_MGMT,B001,ASSET_MGMT_PLAN,HNW,4731010.86,1371993.15,1135442.61,2223575.1,0.0,0.0
2025-01,ASSET_MGMT,B002,ASSET_MGMT_PLAN,HNW,6938815.92,2012256.62,1665315.82,3261243.48,0.0,0.0
2025-01,ASSET_MGMT,B003,ASSET_MGMT_PLAN,HNW,4100209.41,1189060.73,984050.26,1927098.42,0.0,0.0
2025-01,ASSET_MGMT,B004,ASSET_MGMT_PLAN,HNW,3154007.24,914662.1,756961.74,1482383.4,0.0,0.0
2025-01,ASSET_MGMT,B005,ASSET_MGMT_PLAN,HNW,2838606.51,823195.89,681265.56,1334145.06,0.0,0.0
2025-01,ASSET_MGMT,B006,ASSET_MGMT_PLAN,HNW,2523205.79,731729.68,605569.39,1185906.72,0.0,0.0
2025-01,ASSET_MGMT,B007,ASSET_MGMT_PLAN,HNW,3469407.96,1006128.31,832657.91,1630621.74,0.0,0.0
2025-01,ASSET_MGMT,B008,ASSET_MGMT_PLAN,HNW,2207805.07,640263.47,529873.22,1037668.38,0.0,0.0
2025-01,ASSET_MGMT,B009,ASSET_MGMT_PLAN,HNW,1577003.62,457331.05,378480.87,741191.7,0.0,0.0
2025-01,PROPRIETARY,B001,PROPRIETARY_BOOK,INSTITUTION,23363275.11,1869062.01,2336327.51,19157885.59,0.0,0.0
2025-01,PROPRIETARY,B002,PROPRIETARY_BOOK,INSTITUTION,34266136.83,2741290.95,3426613.68,28098232.2,0.0,0.0
2025-01,PROPRIETARY,B003,PROPRIETARY_BOOK,INSTITUTION,20248171.76,1619853.74,2024817.18,16603500.85,0.0,0.0
2025-01,PROPRIETARY,B004,PROPRIETARY_BOOK,INSTITUTION,15575516.74,1246041.34,1557551.67,12771923.73,0.0,0.0
2025-01,PROPRIETARY,B005,PROPRIETARY_BOOK,INSTITUTION,14017965.07,1121437.21,1401796.51,11494731.36,0.0,0.0
2025-01,PROPRIETARY,B006,PROPRIETARY_BOOK,INSTITUTION,12460413.39,996833.07,1246041.34,10217538.98,0.0,0.0
2025-01,PROPRIETARY,B007,PROPRIETARY_BOOK,INSTITUTION,17133068.42,1370645.47,1713306.84,14049116.1,0.0,0.0
2025-01,PROPRIETARY,B008,PROPRIETARY_BOOK,INSTITUTION,10902861.72,872228.94,1090286.17,8940346.61,0.0,0.0
2025-01,PROPRIETARY,B009,PROPRIETARY_BOOK,INSTITUTION,7787758.37,623020.67,778775.84,6385961.86,0.0,0.0
2025-01,MARGIN,B001,MARGIN_FINANCING,HNW,24478609.49,4406149.71,4406149.71,15666310.08,305982618670.3,0.0
2025-01,MARGIN,B002,MARGIN_FINANCING,HNW,35901960.59,6462352.91,6462352.91,22977254.78,448774507383.11,0.0
2025-01,MARGIN,B003,MARGIN_FINANCING,HNW,21214794.89,3818663.08,3818663.08,13577468.73,265184936180.93,0.0
2025-01,MARGIN,B004,MARGIN_FINANCING,HNW,16319073.0,2937433.14,2937433.14,10444206.72,203988412446.87,0.0
2025-01,MARGIN,B005,MARGIN_FINANCING,HNW,14687165.7,2643689.83,2643689.83,9399786.05,183589571202.18,0.0
2025-01,MARGIN,B006,MARGIN_FINANCING,HNW,13055258.4,2349946.51,2349946.51,8355365.37,163190729957.49,0.0
2025-01,MARGIN,B007,MARGIN_FINANCING,HNW,17950980.3,3231176.45,3231176.45,11488627.39,224387253691.55,0.0
2025-01,MARGIN,B008,MARGIN_FINANCING,HNW,11423351.1,2056203.2,2056203.2,7310944.7,142791888712.81,0.0
2025-01,MARGIN,B009,MARGIN_FINANCING,HNW,8159536.5,1468716.57,1468716.57,5222103.36,101994206223.43,0.0
2025-01,WEALTH,B001,WEALTH_PRODUCT,HNW,6582828.83,1974848.65,1711535.5,2896444.69,0.0,0.0
2025-01,WEALTH,B002,WEALTH_PRODUCT,HNW,9654815.62,2896444.69,2510252.06,4248118.87,0.0,0.0
2025-01,WEALTH,B003,WEALTH_PRODUCT,HNW,4564094.66,1369228.4,1186664.61,2008201.65,0.0,0.0
2025-01,WEALTH,B004,WEALTH_PRODUCT,HNW,3510842.04,1053252.61,912818.93,1544770.5,0.0,0.0
2025-01,WEALTH,B005,WEALTH_PRODUCT,HNW,3949697.3,1184909.19,1026921.3,1737866.81,0.0,0.0
2025-01,WEALTH,B006,WEALTH_PRODUCT,HNW,2808673.63,842602.09,730255.15,1235816.4,0.0,0.0
2025-01,WEALTH,B007,WEALTH_PRODUCT,HNW,3861926.25,1158577.87,1004100.82,1699247.55,0.0,0.0
