period,branch_id,branch_name,customer_segment,product_type,budget_revenue,actual_revenue,budget_trade_volume,actual_trade_volume,budget_commission_rate,actual_commission_rate,total_variance,volume_effect,rate_effect,mix_effect,explanation
2025-01,B001,深圳营业部,RETAIL,STOCK,15001762.02,12984565.09,38584778851.26,34788036612.3,0.0003888,0.00037325,-2017196.93,-1476173.38,-540953.97,-69.58,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B001,深圳营业部,RETAIL,FUND,4397068.18,3805820.8,12565924146.96,11329437210.9,0.00034992,0.00033592,-591247.38,-432671.51,-158612.12,36.25,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B001,深圳营业部,RETAIL,BOND,2069208.55,1790974.5,7391720086.45,6664374829.94,0.00027994,0.00026874,-278234.05,-203613.03,-74641.0,19.98,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B001,深圳营业部,RETAIL,ETF,4397068.18,3805820.8,13791867966.18,12434748158.31,0.00031882,0.00030606,-591247.38,-432676.94,-158667.39,96.94,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B001,深圳营业部,HNW,STOCK,6697215.19,5796680.84,19790825018.69,17843407836.85,0.0003384,0.00032486,-900534.35,-659005.97,-241599.74,71.37,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B001,深圳营业部,HNW,FUND,1962976.86,1699027.14,6445287841.34,5811071517.75,0.00030456,0.00029238,-263949.72,-193156.92,-70778.85,-13.95,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B001,深圳营业部,HNW,BOND,923753.82,799542.19,3791345789.02,3418277363.38,0.00024365,0.0002339,-124211.63,-90898.12,-33328.2,14.7,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B001,深圳营业部,HNW,ETF,1962976.86,1699027.14,7074096411.22,6378005324.36,0.00027749,0.00026639,-263949.72,-193158.32,-70795.86,4.45,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B001,深圳营业部,INSTITUTION,STOCK,5089883.54,3876820.15,18603375517.57,16101891231.98,0.0002736,0.00024077,-1213063.39,-684406.1,-528625.09,-32.2,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B001,深圳营业部,INSTITUTION,FUND,1491862.42,1136309.35,6058570570.86,5243910937.62,0.00024624,0.00021669,-355553.07,-200601.79,-154957.57,6.29,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B001,深圳营业部,INSTITUTION,BOND,702052.9,534733.81,3563865041.68,3084653492.72,0.00019699,0.00017335,-167319.09,-94399.88,-72921.21,2.0,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B001,深圳营业部,INSTITUTION,ETF,1491862.42,1136309.35,6649650626.55,5755512004.7,0.00022435,0.00019743,-355553.07,-200600.0,-154938.38,-14.69,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B002,上海营业部,RETAIL,STOCK,25963049.46,20432089.11,80132868718.3,69298904867.58,0.000324,0.00029484,-5530960.35,-3510204.29,-2020756.07,0.0,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B002,上海营业部,RETAIL,FUND,7609859.33,5988715.77,26096911268.41,22568608864.92,0.0002916,0.00026536,-1621143.56,-1028852.98,-592200.3,-90.28,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B002,上海营业部,RETAIL,BOND,3581110.27,2818219.19,15351124275.54,13275652273.48,0.00023328,0.00021228,-762891.08,-484166.11,-278788.7,63.73,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B002,上海营业部,RETAIL,ETF,7609859.33,5988715.77,28642951392.16,24770424363.94,0.00026568,0.00024177,-1621143.56,-1028852.98,-592260.85,-29.73,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B002,上海营业部,HNW,STOCK,11590647.08,9121468.35,41101585398.82,35544651052.9,0.000282,0.00025662,-2469178.73,-1567055.49,-902123.24,-0.0,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B002,上海营业部,HNW,FUND,3397258.63,2673533.83,13385573788.89,11575844212.63,0.0002538,0.00023096,-723724.8,-459309.37,-264392.28,-23.15,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B002,上海营业部,HNW,BOND,1598709.94,1258133.57,7873866934.64,6809320125.08,0.00020304,0.00018477,-340576.37,-216145.58,-124406.28,-24.51,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B002,上海营业部,HNW,ETF,3397258.63,2673533.83,14691483426.83,12705194867.52,0.00023124,0.00021043,-723724.8,-459309.37,-264395.11,-20.33,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B002,上海营业部,INSTITUTION,STOCK,8808891.78,6435626.94,38635490274.89,32075493110.14,0.000228,0.00020064,-2373264.84,-1495679.35,-877585.49,0.01,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B002,上海营业部,INSTITUTION,FUND,2581916.56,1886304.45,12582439361.56,10446041817.48,0.0002052,0.00018058,-695612.11,-438388.78,-257181.55,-41.78,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B002,上海营业部,INSTITUTION,BOND,1215019.56,887672.68,7401434918.56,6144730480.87,0.00016416,0.00014446,-327346.88,-206300.6,-121051.19,4.91,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B002,上海营业部,INSTITUTION,ETF,2581916.56,1886304.45,13809994421.22,11465167848.45,0.00018696,0.00016452,-695612.11,-438388.78,-257278.37,55.03,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B003,北京营业部,RETAIL,STOCK,13001527.08,11253289.74,35200149127.47,31736454453.32,0.00036936,0.00035459,-1748237.34,-1279350.26,-468747.43,-139.64,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B003,北京营业部,RETAIL,FUND,3810792.42,3298378.03,11463650098.98,10335626929.24,0.00033242,0.00031913,-512414.39,-374977.46,-137360.48,-76.45,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B003,北京营业部,RETAIL,BOND,1793314.08,1552177.9,6743323587.64,6079780546.61,0.00026594,0.0002553,-241136.18,-176462.64,-64688.87,15.32,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B003,北京营业部,RETAIL,ETF,3810792.42,3298378.03,12582054986.69,11343980776.0,0.00030288,0.00029076,-512414.39,-374987.92,-137489.05,62.57,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B003,北京营业部,HNW,STOCK,5804253.16,5023790.06,18054787736.35,16278196623.09,0.00032148,0.00030862,-780463.1,-571138.51,-209337.61,13.02,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B003,北京营业部,HNW,FUND,1701246.62,1472490.19,5879911714.9,5301328402.16,0.00028933,0.00027776,-228756.43,-167401.51,-61336.37,-18.55,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B003,北京营业部,HNW,BOND,800586.64,692936.56,3458771597.0,3118428471.86,0.00023147,0.00022221,-107650.08,-78779.22,-28876.65,5.79,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B003,北京营业部,HNW,ETF,1701246.62,1472490.19,6453561638.31,5818531173.1,0.00026361,0.00025307,-228756.43,-167400.38,-61327.32,-28.73,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B003,北京营业部,INSTITUTION,STOCK,4411232.4,3359910.8,16971500472.17,14689444632.68,0.00025992,0.00022873,-1051321.6,-593151.95,-458163.78,-5.87,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B003,北京营业部,INSTITUTION,FUND,1292947.43,984801.44,5527117012.01,4783918750.11,0.00023393,0.00020586,-308145.99,-173856.37,-134284.6,-5.02,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B003,北京营业部,INSTITUTION,BOND,608445.85,463435.97,3251245301.18,2814069853.0,0.00018714,0.00016469,-145009.88,-81813.01,-63175.87,-21.0,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B003,北京营业部,INSTITUTION,ETF,1292947.43,984801.44,6066347940.01,5250642530.6,0.00021313,0.00018756,-308145.99,-173851.29,-134258.93,-35.77,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B004,广州营业部,RETAIL,STOCK,10001174.68,8656376.73,25723185900.84,23192024408.2,0.0003888,0.00037325,-1344797.95,-984115.59,-360635.98,-46.38,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
2025-01,B004,广州营业部,RETAIL,FUND,2931378.79,2537213.87,8377282764.64,7552958140.6,0.00034992,0.00033592,-394164.92,-288447.67,-105741.41,24.17,经纪佣金收入 = 交易量 × 平均佣金率；差异按营业部、客户分层和产品类型拆解。
